date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity,DayCategory
1/1/2015,1.0,1,Thursday,8,0.8,26.16,1108.0,7080.0,98,0.0,0,0,59.0,0.940725424,Weekday
1/1/2015,1.0,2,Thursday,1,0.75,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.8865,Weekday
1/1/2015,1.0,1,Thursday,11,0.8,11.41,968.0,3660.0,50,0.0,0,0,30.5,0.800570492,Weekday
1/1/2015,1.0,1,Thursday,12,0.8,11.41,968.0,3660.0,50,0.0,0,0,30.5,0.800570492,Weekday
1/1/2015,1.0,1,Thursday,6,0.8,25.9,1170.0,1920.0,50,0.0,0,0,56.0,0.800381944,Weekday
1/1/2015,1.0,1,Thursday,7,0.8,25.9,984.0,6720.0,38,0.0,0,0,56.0,0.800125,Weekday
1/1/2015,1.0,2,Thursday,2,0.75,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.755166667,Weekday
1/1/2015,1.0,1,Thursday,3,0.75,28.08,795.0,6900.0,45,0.0,0,0,57.5,0.753683478,Weekday
1/1/2015,1.0,1,Thursday,2,0.75,19.87,733.0,6000.0,34,0.0,0,0,55.0,0.753097531,Weekday
1/1/2015,1.0,1,Thursday,1,0.75,28.08,681.0,6900.0,45,0.0,0,0,57.5,0.750427826,Weekday
1/1/2015,1.0,1,Thursday,9,0.7,28.08,872.0,6900.0,44,0.0,0,0,57.5,0.721126957,Weekday
1/1/2015,1.0,1,Thursday,10,0.75,19.31,578.0,6480.0,45,0.0,0,0,54.0,0.712205247,Weekday
1/1/2015,1.0,1,Thursday,5,0.8,11.41,668.0,3660.0,50,0.0,0,0,30.5,0.707045902,Weekday
1/1/2015,1.0,2,Thursday,10,0.65,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.705916667,Weekday
1/1/2015,1.0,2,Thursday,8,0.75,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.676666667,Weekday
1/1/2015,1.0,2,Thursday,4,0.75,3.94,1190.4659913169319,2160.0,0,0.0,0,0,18.0,0.593055556,Weekday
1/1/2015,1.0,2,Thursday,7,0.8,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.540729167,Weekday
1/1/2015,1.0,1,Thursday,4,0.65,23.69,861.0,7200.0,0,0.0,0,0,60.0,0.52118,Weekday
1/1/2015,1.0,2,Thursday,11,0.7,4.15,1190.4659913169319,1440.0,0,0.0,0,0,12.0,0.436326389,Weekday
1/3/2015,1.0,2,Saturday,4,0.8,4.15,1190.4659913169319,6600.0,0,0.0,0,0,20.0,0.988024691,Weekend
1/3/2015,1.0,2,Saturday,11,0.75,2.9,1190.4659913169319,5640.0,0,0.0,0,0,17.0,0.987880435,Weekend
1/3/2015,1.0,2,Saturday,9,0.8,4.15,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.956270833,Weekend
1/3/2015,1.0,2,Saturday,3,0.75,3.94,1190.4659913169319,1560.0,0,0.0,0,0,8.0,0.945277778,Weekend
1/3/2015,1.0,2,Saturday,1,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.902916667,Weekend
1/3/2015,1.0,1,Saturday,1,0.8,28.08,772.0,6300.0,50,0.0,0,0,56.5,0.800725314,Weekend
1/3/2015,1.0,1,Saturday,3,0.8,28.08,913.0,6540.0,50,0.0,0,0,54.5,0.800322936,Weekend
1/3/2015,1.0,1,Saturday,8,0.8,26.16,1261.0,7080.0,50,0.0,0,0,59.0,0.800318644,Weekend
1/3/2015,1.0,1,Saturday,12,0.8,26.16,844.0,7080.0,63,0.0,0,0,59.0,0.800318644,Weekend
1/3/2015,1.0,1,Saturday,11,0.8,11.61,1005.0,7080.0,50,0.0,0,0,29.5,0.800237288,Weekend
1/3/2015,1.0,1,Saturday,5,0.8,11.61,659.0,7080.0,50,0.0,0,0,31.5,0.800148649,Weekend
1/3/2015,1.0,1,Saturday,6,0.8,25.9,1152.0,6720.0,50,0.0,0,0,56.0,0.800125,Weekend
1/3/2015,1.0,1,Saturday,7,0.8,25.9,1138.0,6720.0,38,0.0,0,0,56.0,0.800125,Weekend
1/3/2015,1.0,1,Saturday,10,0.75,19.31,610.0,6480.0,56,0.0,0,0,54.0,0.787299691,Weekend
1/3/2015,1.0,2,Saturday,2,0.8,4.15,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.782447917,Weekend
1/3/2015,1.0,1,Saturday,2,0.75,19.87,944.0,6600.0,45,0.0,0,0,55.0,0.75024303,Weekend
1/3/2015,1.0,2,Saturday,10,0.7,4.15,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.7018125,Weekend
1/3/2015,1.0,1,Saturday,4,0.7,23.69,544.0,13800.0,0,0.0,0,0,60.0,0.700134038,Weekend
1/3/2015,1.0,1,Saturday,9,0.7,28.08,1072.0,6900.0,40,0.0,0,0,57.5,0.699965217,Weekend
1/3/2015,1.0,2,Saturday,8,0.8,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.628333333,Weekend
1/3/2015,1.0,2,Saturday,7,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.6253125,Weekend
1/4/2015,1.0,2,Sunday,3,0.75,4.15,1190.4659913169319,1560.0,0,0.0,0,0,8.0,0.991388889,Weekend
1/4/2015,1.0,2,Sunday,9,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.931645833,Weekend
1/4/2015,1.0,2,Sunday,1,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.915229167,Weekend
1/4/2015,1.0,1,Sunday,6,0.8,11.61,539.0,6975.0,50,0.0,0,0,31.0,0.879714482,Weekend
1/4/2015,1.0,2,Sunday,4,0.8,3.94,1190.4659913169319,6600.0,0,0.0,0,0,20.0,0.861679012,Weekend
1/4/2015,1.0,1,Sunday,9,0.8,26.16,1278.0,7080.0,60,0.0,0,0,59.0,0.850569492,Weekend
1/4/2015,1.0,1,Sunday,7,0.8,25.9,1227.0,7020.0,60,0.0,0,0,56.5,0.850436438,Weekend
1/4/2015,1.0,1,Sunday,8,0.8,25.9,1039.0,6780.0,45,0.0,0,0,56.5,0.850345133,Weekend
1/4/2015,1.0,1,Sunday,4,0.8,28.08,878.0,4260.0,50,0.0,0,0,55.5,0.800598058,Weekend
1/4/2015,1.0,1,Sunday,1,0.8,26.16,1033.0,7080.0,63,0.0,0,0,59.0,0.800318644,Weekend
1/4/2015,1.0,1,Sunday,2,0.8,28.08,782.0,6660.0,50,0.0,0,0,55.5,0.800237838,Weekend
1/4/2015,1.0,1,Sunday,12,0.8,11.61,1216.0,6975.0,50,0.0,0,0,31.0,0.800030199,Weekend
1/4/2015,1.0,2,Sunday,2,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.792104167,Weekend
1/4/2015,1.0,2,Sunday,10,0.7,3.94,1190.4659913169319,4320.0,0,0.0,0,0,18.0,0.759228395,Weekend
1/4/2015,1.0,1,Sunday,11,0.75,19.31,513.0,6480.0,45,0.0,0,0,54.0,0.750348457,Weekend
1/4/2015,1.0,1,Sunday,3,0.75,19.87,734.0,6600.0,45,0.0,0,0,55.0,0.75024303,Weekend
1/4/2015,1.0,1,Sunday,10,0.7,28.08,1202.0,6900.0,40,0.0,0,0,57.5,0.699965217,Weekend
1/4/2015,1.0,2,Sunday,8,0.8,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.682708333,Weekend
1/4/2015,1.0,2,Sunday,7,0.8,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.667604167,Weekend
1/4/2015,1.0,1,Sunday,5,0.7,45.67,884.0,6960.0,26,0.0,0,0,58.0,0.603432184,Weekend
1/4/2015,1.0,2,Sunday,11,0.75,4.15,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.4276613622499999,Weekend
1/5/2015,1.0,2,Monday,1,0.8,3.94,1190.4659913169319,1920.0,0,0.0,0,0,8.0,0.961059028,Weekday
1/5/2015,1.0,2,Monday,11,0.8,3.94,1190.4659913169319,2400.0,0,0.0,0,0,10.0,0.939513889,Weekday
1/5/2015,1.0,2,Monday,4,0.8,3.94,1190.4659913169319,3840.0,0,0.0,0,0,16.0,0.893663194,Weekday
1/5/2015,1.0,2,Monday,3,0.75,4.15,1190.4659913169319,1920.0,0,0.0,0,0,8.0,0.875390625,Weekday
1/5/2015,1.0,1,Monday,9,0.8,26.16,1227.0,7080.0,75,0.0,0,0,59.0,0.850569492,Weekday
1/5/2015,1.0,2,Monday,9,0.8,2.9,1190.4659913169319,1920.0,0,0.0,0,0,8.0,0.820833333,Weekday
1/5/2015,1.0,2,Monday,2,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.804416667,Weekday
1/5/2015,1.0,1,Monday,7,0.8,25.9,1255.0,6780.0,50,0.0,0,0,56.5,0.800684366,Weekday
1/5/2015,1.0,1,Monday,8,0.8,25.9,1047.0,6780.0,38,0.0,0,0,56.5,0.800684366,Weekday
1/5/2015,1.0,1,Monday,1,0.8,26.16,1138.0,7080.0,63,0.0,0,0,59.0,0.800318644,Weekday
1/5/2015,1.0,1,Monday,11,0.8,19.31,678.0,4800.0,50,0.0,0,0,55.0,0.800250962,Weekday
1/5/2015,1.0,1,Monday,6,0.8,11.61,712.0,7200.0,50,0.0,0,0,32.0,0.800246011,Weekday
1/5/2015,1.0,1,Monday,12,0.8,11.61,1037.0,7200.0,50,0.0,0,0,32.0,0.800246011,Weekday
1/5/2015,1.0,1,Monday,2,0.8,28.08,757.0,6900.0,50,0.0,0,0,57.5,0.800076522,Weekday
1/5/2015,1.0,1,Monday,4,0.8,28.08,759.0,6900.0,50,0.0,0,0,57.5,0.800076522,Weekday
1/5/2015,1.0,2,Monday,10,0.75,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.763375,Weekday
1/5/2015,1.0,2,Monday,5,0.6,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.759270833,Weekday
1/5/2015,1.0,1,Monday,10,0.75,28.08,1083.0,7020.0,45,0.0,0,0,58.5,0.7504,Weekday
1/5/2015,1.0,1,Monday,3,0.75,19.87,944.0,6600.0,45,0.0,0,0,55.0,0.75024303,Weekday
1/5/2015,1.0,2,Monday,7,0.8,3.94,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.676666667,Weekday
1/5/2015,1.0,2,Monday,8,0.8,2.9,1190.4659913169319,960.0,0,0.0,0,0,8.0,0.664583333,Weekday
1/5/2015,1.0,1,Monday,5,0.6,21.98,666.0,6960.0,23,0.0,0,0,58.0,0.600028736,Weekday
1/6/2015,1.0,2,Tuesday,4,0.8,3.94,1190.4659913169319,4440.0,0,0.0,0,0,18.0,0.966781346,Weekday
1/6/2015,1.0,2,Tuesday,1,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.936496212,Weekday
1/6/2015,1.0,2,Tuesday,3,0.75,4.15,1190.4659913169319,1800.0,0,0.0,0,0,10.0,0.899166667,Weekday
1/6/2015,1.0,2,Tuesday,11,0.8,4.15,1190.4659913169319,2700.0,0,0.0,0,0,15.0,0.888686869,Weekday
1/6/2015,1.0,2,Tuesday,9,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.858143939,Weekday
1/6/2015,1.0,1,Tuesday,1,0.8,26.16,1187.0,10620.0,75,0.0,0,0,59.0,0.850502311,Weekday
1/6/2015,1.0,1,Tuesday,9,0.8,26.16,1305.0,10620.0,75,0.0,0,0,59.0,0.850502311,Weekday
1/6/2015,1.0,2,Tuesday,10,0.75,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.809640152,Weekday
1/6/2015,1.0,2,Tuesday,2,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.805909091,Weekday
1/6/2015,1.0,1,Tuesday,2,0.8,28.08,716.0,10350.0,50,0.0,0,0,57.5,0.800594466,Weekday
1/6/2015,1.0,1,Tuesday,4,0.8,28.08,925.0,10350.0,50,0.0,0,0,57.5,0.800594466,Weekday
1/6/2015,1.0,1,Tuesday,3,0.8,19.87,963.0,9900.0,50,0.0,0,0,55.0,0.800273829,Weekday
1/6/2015,1.0,1,Tuesday,12,0.8,11.61,1101.0,5310.0,50,0.0,0,0,31.5,0.800140969,Weekday
1/6/2015,1.0,1,Tuesday,7,0.8,25.9,1035.0,10170.0,38,0.0,0,0,56.5,0.800128721,Weekday
1/6/2015,1.0,1,Tuesday,8,0.8,25.9,1083.0,10170.0,38,0.0,0,0,56.5,0.800128721,Weekday
1/6/2015,1.0,1,Tuesday,6,0.8,11.61,910.0,4470.0,38,0.0,0,0,31.5,0.80007657,Weekday
1/6/2015,1.0,1,Tuesday,10,0.75,28.08,1209.0,10530.0,45,0.0,0,0,58.5,0.750545455,Weekday
1/6/2015,1.0,1,Tuesday,11,0.75,19.31,590.0,9900.0,45,0.0,0,0,55.0,0.750057851,Weekday
1/6/2015,1.0,2,Tuesday,8,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.681060606,Weekday
1/6/2015,1.0,1,Tuesday,5,0.65,21.98,808.0,10440.0,35,0.0,0,0,58.0,0.649983281,Weekday
1/6/2015,1.0,2,Tuesday,7,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.61625,Weekday
1/7/2015,1.0,2,Wednesday,1,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.951420455,Weekday
1/7/2015,1.0,2,Wednesday,9,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.880530303,Weekday
1/7/2015,1.0,1,Wednesday,1,0.8,26.16,1179.0,10620.0,75,0.0,0,0,59.0,0.850502311,Weekday
1/7/2015,1.0,1,Wednesday,9,0.8,26.16,1324.0,10620.0,75,0.0,0,0,59.0,0.850502311,Weekday
1/7/2015,1.0,1,Wednesday,8,0.8,25.9,1135.0,10170.0,60,0.0,0,0,56.5,0.850136766,Weekday
1/7/2015,1.0,2,Wednesday,3,0.75,4.15,1190.4659913169319,2700.0,0,0.0,0,0,15.0,0.83,Weekday
1/7/2015,1.0,2,Wednesday,4,0.8,3.94,1190.4659913169319,4440.0,0,0.0,0,0,18.0,0.827186544,Weekday
1/7/2015,1.0,2,Wednesday,2,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.813371212,Weekday
1/7/2015,1.0,2,Wednesday,10,0.75,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.805909091,Weekday
1/7/2015,1.0,2,Wednesday,7,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.804640152,Weekday
1/7/2015,1.0,1,Wednesday,2,0.8,28.08,776.0,10350.0,63,0.0,0,0,57.5,0.800594466,Weekday
1/7/2015,1.0,1,Wednesday,4,0.8,28.08,990.0,10350.0,50,0.0,0,0,57.5,0.800594466,Weekday
1/7/2015,1.0,1,Wednesday,6,0.8,11.41,986.0,5490.0,50,0.0,0,0,30.5,0.800343766,Weekday
1/7/2015,1.0,1,Wednesday,3,0.8,19.87,924.0,9900.0,50,0.0,0,0,55.0,0.800273829,Weekday
1/7/2015,1.0,1,Wednesday,12,0.8,11.61,1120.0,5670.0,50,0.0,0,0,31.5,0.800246753,Weekday
1/7/2015,1.0,1,Wednesday,7,0.8,25.9,1066.0,10170.0,50,0.0,0,0,56.5,0.800128721,Weekday
1/7/2015,1.0,1,Wednesday,10,0.75,28.08,1144.0,10530.0,69,0.0,0,0,58.5,0.8,Weekday
1/7/2015,1.0,1,Wednesday,5,0.7,21.98,413.0,9720.0,40,0.0,0,0,58.0,0.700480831,Weekday
1/7/2015,1.0,2,Wednesday,8,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.681060606,Weekday
1/7/2015,1.0,2,Wednesday,6,0.8,2.9,1190.4659913169319,1800.0,0,0.0,0,0,10.0,0.666515152,Weekday
1/7/2015,1.0,1,Wednesday,11,0.8,31.83,568.0,9900.0,40,0.0,0,0,55.0,0.4276613622499999,Weekday
1/7/2015,1.0,2,Wednesday,5,0.7,4.15,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.4276613622499999,Weekday
1/8/2015,2.0,2,Thursday,1,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.947689394,Weekday
1/8/2015,2.0,2,Thursday,4,0.8,3.94,1190.4659913169319,12600.0,0,0.0,0,0,20.0,0.919905405,Weekday
1/8/2015,2.0,1,Thursday,9,0.8,26.16,1216.0,10620.0,88,0.0,0,0,59.0,0.900215716,Weekday
1/8/2015,2.0,2,Thursday,9,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.891723485,Weekday
1/8/2015,2.0,1,Thursday,1,0.8,26.16,1189.0,10620.0,75,0.0,0,0,59.0,0.850502311,Weekday
1/8/2015,2.0,1,Thursday,4,0.8,28.08,942.0,10530.0,75,0.0,0,0,58.5,0.850181818,Weekday
1/8/2015,2.0,1,Thursday,7,0.8,25.9,1050.0,10170.0,60,0.0,0,0,56.5,0.850136766,Weekday
1/8/2015,2.0,1,Thursday,8,0.8,25.9,1026.0,10170.0,60,0.0,0,0,56.5,0.850136766,Weekday
1/8/2015,2.0,2,Thursday,2,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.835757576,Weekday
1/8/2015,2.0,2,Thursday,5,0.7,4.15,1190.4659913169319,3840.0,0,0.0,0,0,8.0,0.821354167,Weekday
1/8/2015,2.0,1,Thursday,2,0.8,28.08,783.0,10050.0,63,0.0,0,0,58.5,0.800497246,Weekday
1/8/2015,2.0,1,Thursday,3,0.8,19.87,857.0,9900.0,50,0.0,0,0,55.0,0.800273829,Weekday
1/8/2015,2.0,1,Thursday,12,0.8,11.61,548.0,15090.0,63,0.0,0,0,31.5,0.800107143,Weekday
1/8/2015,2.0,1,Thursday,6,0.8,11.41,411.0,14640.0,50,0.0,0,0,30.5,0.800024932,Weekday
1/8/2015,2.0,1,Thursday,10,0.75,28.08,1066.0,10530.0,69,0.0,0,0,58.5,0.8,Weekday
1/8/2015,2.0,2,Thursday,10,0.75,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.779791667,Weekday
1/8/2015,2.0,2,Thursday,8,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.735984848,Weekday
1/8/2015,2.0,2,Thursday,3,0.75,4.15,1190.4659913169319,2160.0,0,0.0,0,0,12.0,0.712626263,Weekday
1/8/2015,2.0,2,Thursday,7,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.681060606,Weekday
1/8/2015,2.0,2,Thursday,11,0.8,4.15,1190.4659913169319,900.0,0,0.0,0,0,5.0,0.515606061,Weekday
1/8/2015,2.0,1,Thursday,5,0.7,42.41,724.0,10260.0,0,0.0,0,0,57.0,0.4276613622499999,Weekday
1/10/2015,2.0,2,Saturday,1,0.8,3.94,1190.4659913169319,2160.0,0,0.0,0,0,8.0,0.985,Weekend
1/10/2015,2.0,2,Saturday,3,0.75,4.15,1190.4659913169319,2760.0,0,0.0,0,0,12.0,0.930340376,Weekend
1/10/2015,2.0,2,Saturday,4,0.8,3.94,1190.4659913169319,6000.0,0,0.0,0,0,20.0,0.911589744,Weekend
1/10/2015,2.0,2,Saturday,9,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.858143939,Weekend
1/10/2015,2.0,1,Saturday,9,0.8,26.16,1122.0,10620.0,75,0.0,0,0,59.0,0.851174114,Weekend
1/10/2015,2.0,1,Saturday,7,0.8,25.9,970.0,10170.0,60,0.0,0,0,56.5,0.850136766,Weekend
1/10/2015,2.0,1,Saturday,8,0.8,25.9,1158.0,10170.0,60,0.0,0,0,56.5,0.850136766,Weekend
1/10/2015,2.0,2,Saturday,10,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.846950758,Weekend
1/10/2015,2.0,2,Saturday,11,0.8,4.15,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.817424242,Weekend
1/10/2015,2.0,2,Saturday,2,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.817102273,Weekend
1/10/2015,2.0,1,Saturday,4,0.8,28.08,660.0,10440.0,63,0.0,0,0,58.0,0.801028213,Weekend
1/10/2015,2.0,1,Saturday,2,0.8,28.08,749.0,10350.0,63,0.0,0,0,57.5,0.800594466,Weekend
1/10/2015,2.0,1,Saturday,12,0.8,11.61,893.0,4710.0,50,0.0,0,0,31.5,0.800346445,Weekend
1/10/2015,2.0,1,Saturday,6,0.8,11.41,887.0,5490.0,50,0.0,0,0,30.5,0.800343766,Weekend
1/10/2015,2.0,1,Saturday,1,0.8,26.16,1335.0,10620.0,63,0.0,0,0,59.0,0.800117103,Weekend
1/10/2015,2.0,1,Saturday,10,0.8,28.08,1082.0,10530.0,63,0.0,0,0,58.5,0.8,Weekend
1/10/2015,2.0,1,Saturday,3,0.75,19.87,1075.0,7080.0,45,0.0,0,0,56.0,0.750098351,Weekend
1/10/2015,2.0,2,Saturday,7,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.670075758,Weekend
1/10/2015,2.0,2,Saturday,8,0.8,2.9,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.628882576,Weekend
1/11/2015,2.0,2,Sunday,3,0.75,4.15,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.93532197,Weekend
1/11/2015,2.0,2,Sunday,4,0.8,3.94,1190.4659913169319,3600.0,0,0.0,0,0,20.0,0.925643939,Weekend
1/11/2015,2.0,1,Sunday,9,0.8,26.16,1095.0,10620.0,88,0.0,0,0,59.0,0.900215716,Weekend
1/11/2015,2.0,2,Sunday,1,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.873068182,Weekend
1/11/2015,2.0,2,Sunday,9,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.858143939,Weekend
1/11/2015,2.0,1,Sunday,1,0.8,26.16,1383.0,10620.0,75,0.0,0,0,59.0,0.850502311,Weekend
1/11/2015,2.0,1,Sunday,7,0.8,25.9,1012.0,10170.0,45,0.0,0,0,56.5,0.850136766,Weekend
1/11/2015,2.0,1,Sunday,8,0.8,25.9,1209.0,10170.0,60,0.0,0,0,56.5,0.850136766,Weekend
1/11/2015,2.0,2,Sunday,10,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.828295455,Weekend
1/11/2015,2.0,2,Sunday,2,0.8,3.94,1190.4659913169319,1440.0,0,0.0,0,0,8.0,0.820833333,Weekend
1/11/2015,2.0,1,Sunday,6,0.8,11.41,887.0,5490.0,50,0.0,0,0,30.5,0.800343766,Weekend
1/11/2015,2.0,1,Sunday,12,0.8,11.61,896.0,5670.0,50,0.0,0,0,31.5,0.800246753,Weekend
1/11/2015,2.0,1,Sunday,2,0.8,28.08,805.0,10530.0,63,0.0,0,0,58.5,0.8,Weekend
1/11/2015,2.0,1,Sunday,10,0.8,28.08,762.0,10530.0,38,0.0,0,0,58.5,0.8,Weekend
1/11/2015,2.0,1,Sunday,3,0.8,19.87,1043.0,6420.0,0,0.0,0,0,55.0,0.690182815,Weekend
